fines,"be fined £100/$75,000, etc. (for sth) Individuals can be charged interest and fined up to £1,000 for late submission of their tax return .",A1 [ after verb ]
fines,a list of restaurants in the area that provide fine dining,A1 [ after verb ]
fines,a fine set of financial results,A1 [ after verb ]
fines,"To all outward appearances everything was fine, but under the surface the marriage was very shaky .",A1 [ after verb ]
fines,"""Don't you worry about a thing. Everything's going to be just fine,"" smiled Robin reassuringly .",A1 [ after verb ]
fines,My diet would be fine if only I didn't have this weakness for sweet things.,A1 [ after verb ]
fines,I don't understand how he can say that everything's fine when it's so obvious that it's not.,A1 [ after verb ]
fines,Stop fiddling about with your hair - it looks fine.,A1 [ after verb ]
fines,The painting is regarded as an exceptionally fine portrait .,A1 [ after verb ]
fines,The museum has a fine collection of valuable glass .,A1 [ after verb ]
fines,Jones made sure of his place in the side with three fine goals .,A1 [ after verb ]
fines,Some of the finest examples of woodcarving in Europe can be found in medieval churches .,A1 [ after verb ]
fines,She has a liking for fine wines .,A1 [ after verb ]
fines,I've just had to pay £10 for a parking fine.,A1 [ after verb ]
fines,He did not have to pay his speeding fine because he pleaded diplomatic immunity .,A1 [ after verb ]
fines,They're appealing to the High Court to reduce the prison sentence to a fine.,A1 [ after verb ]
fines,The judge said that the fine would serve as a warning to other motorists who drove without due care .,A1 [ after verb ]
fines,The librarian slapped a fine on him for returning the books late.,A1 [ after verb ]
fines,He was fined for defacing library books .,A1 [ after verb ]
fines,She was fined for speeding last month .,A1 [ after verb ]
fines,The council has begun to fine drivers who park in the bus lanes .,A1 [ after verb ]
fines,The judge decided to fine him rather than impose a prison sentence .,A1 [ after verb ]
fines,He was fined for impersonating a police officer .,A1 [ after verb ]
fines,Work is going fine.,A1 [ after verb ]
fines,The TV seems to be working fine now.,A1 [ after verb ]
fines,Part-time work suits me fine.,A1 [ after verb ]
fines,A three-bedroom house would suit us fine.,A1 [ after verb ]
fines,A three-day week would suit me fine.,A1 [ after verb ]
willing,"If you're willing to fly at night , you can get a much cheaper ticket .",B1
willing,a willing helper,B1
willing,If you’re willing to fly on Thursday you can get a cheaper ticket .,B1
willing,She shows a willingness to work hard.,B1
